YEAR,A2_CNRMCM3,A2_GFDLCM21,A2_MIROC32MED,A2_MPIECHAM5,A2_NCARCCSM3,A2_NCARPCM1,B1_CNRMCM3,B1_GFDLCM21,B1_MIROC32MED,B1_MPIECHAM5,B1_NCARCCSM3,B1_NCARPCM1
2071,68,0,184,9758,0,0,7168,0,306,800,0,2500
2072,0,284,0,5874,0,3826,2382,168,0,6970,5948,56
2073,454,5454,0,4454,3326,9192,0,8376,0,6806,6460,0
2074,0,0,0,6222,0,4790,2340,0,0,0,18,7748
2075,0,0,0,0,0,4828,0,0,0,0,5762,424
2076,1910,0,0,0,70,5688,0,4056,3930,11226,9502,0
2077,2,0,0,0,0,10572,500,4112,5910,0,1860,8662
2078,4722,0,0,11064,300,0,10440,4312,1816,68,410,10388
2079,872,0,0,0,0,0,1802,2846,2492,5490,0,11730
2080,334,0,0,4090,0,1140,4270,0,0,6152,5974,12664
2081,0,0,0,7594,5006,10012,5720,0,0,4206,464,5686
2082,0,0,440,1728,0,6122,5012,6978,0,7482,8424,9256
2083,0,0,622,986,0,672,5838,0,4950,4084,0,10518
2084,4936,0,0,4526,0,0,8572,554,5504,0,10528,3224
2085,682,0,0,4278,0,0,0,0,0,5818,0,6326
2086,0,0,0,7454,0,2334,6724,0,0,2386,0,6748
2087,0,0,0,1744,3404,0,0,0,0,0,0,2094
2088,218,0,0,0,248,7190,2370,3314,0,0,6078,8492
2089,0,0,0,532,0,6162,1532,0,0,4894,0,11586
2090,0,0,0,440,0,5826,6198,2594,4694,0,7074,5658
2091,1446,0,0,0,0,2174,52,0,458,4090,4860,3114
2092,434,0,0,0,0,10576,4438,498,0,0,2990,11440
2093,554,0,0,0,0,4928,0,5532,0,0,4796,6632
2094,0,0,0,0,0,780,3246,0,700,0,5934,6520
2095,0,0,228,0,0,444,10850,9880,0,0,6530,11352
2096,0,0,0,0,0,0,0,0,0,0,0,2106
2097,0,0,0,0,0,0,0,0,4430,0,6204,6742
2098,0,0,0,0,0,0,0,0,1440,0,274,8778
2099,1512,0,0,1486,0,0,292,0,1642,0,8016,13874
