YEAR,A2_CNRMCM3,A2_GFDLCM21,A2_MIROC32MED,A2_MPIECHAM5,A2_NCARCCSM3,A2_NCARPCM1,B1_CNRMCM3,B1_GFDLCM21,B1_MIROC32MED,B1_MPIECHAM5,B1_NCARCCSM3,B1_NCARPCM1
2074,0,0,0,6914,0,4082,3654,0,0,0,12,8026
2075,0,0,0,0,0,4806,0,0,0,0,6182,424
2076,2524,0,0,0,2164,6004,0,4044,4448,10404,10042,0
2077,1484,0,0,0,0,11808,342,5116,6358,0,1698,8966
2078,5342,0,0,6838,0,0,10308,4404,1880,88,412,8534
2079,1108,0,0,0,0,0,1540,3852,5844,4044,0,10264
2080,284,0,0,4192,118,1180,4298,0,0,6190,6124,12230
2081,0,0,0,8180,4636,10152,5388,0,0,3820,696,5770
2082,0,0,676,1324,0,6156,5308,7242,0,6238,8588,11066
2083,0,0,878,1484,0,694,6104,0,5008,4212,0,10634
2084,3930,0,0,5310,0,0,8656,394,5508,0,10662,3560
2085,3016,0,0,6046,0,0,0,0,0,6098,0,6592
2086,0,0,0,8244,0,2630,6144,0,0,2428,0,6770
2087,0,0,0,1922,4418,0,0,0,0,0,0,2094
2088,226,0,0,0,286,7482,2770,3538,0,0,5678,8730
2089,0,0,0,450,0,6306,1600,0,0,4888,0,11948
2090,0,0,0,534,912,5764,6034,2978,2918,0,7478,5644
2091,2408,0,0,0,0,3176,52,0,438,3870,4626,3114
2092,484,0,0,0,0,10992,4874,630,0,0,3108,11362
2093,820,0,0,0,0,5182,0,5092,0,0,5178,8732
2094,0,0,0,0,0,726,2932,0,1700,0,6064,7178
2095,0,0,454,0,0,442,10888,10462,0,0,6722,12076
2096,0,0,0,0,0,0,0,0,0,0,0,2526
2097,0,0,0,0,0,0,0,0,4526,0,5832,7332
2098,0,0,0,0,0,0,0,0,844,0,90,7512
2099,1964,0,0,2264,0,0,308,0,1598,0,8254,13600
