YEAR,A2_CNRMCM3,A2_GFDLCM21,A2_MIROC32MED,A2_MPIECHAM5,A2_NCARCCSM3,A2_NCARPCM1,B1_CNRMCM3,B1_GFDLCM21,B1_MIROC32MED,B1_MPIECHAM5,B1_NCARCCSM3,B1_NCARPCM1
2090,0,0,0,1440,482,6506,6802,3878,5282,0,7758,6046
2091,2286,0,250,80,0,3252,368,106,1588,5044,5568,4568
2092,1070,0,0,0,0,11256,5062,1566,0,0,3934,11926
2093,1314,0,0,0,0,5512,0,6124,0,0,5458,7050
2094,0,0,0,0,0,1880,3848,0,1736,0,6348,7380
2095,0,0,1210,0,0,1132,11230,10420,0,0,7224,12060
2096,0,0,0,0,0,0,0,0,0,0,0,3092
2097,0,0,0,0,0,0,0,0,5330,0,6698,7358
2098,0,0,0,0,0,0,0,152,2488,0,906,9532
2099,2432,0,0,2468,0,0,824,192,2838,0,8970,14046
